artist,title,lyrics
Exodus,"Blood In, Blood Out","We're throwing down the gauntlet
Chomping at the bit about to lay down the law
Show you all the way
Bare witness to genesis
Of the violence the way it was back in the day.
We've been here from the start with a one track mind,
We kept the hate alive.
Always had the power, now is zero hour,
Tonight we're gonna fight like it's 1985.

Blood in, blood out,
All I'm telling you is do anything you wanna do
Blood in, blood out,
This is a ****ing dynasty of trash notoriety.
Dive in or bow out,
If you have the pedigree, welcome to the family.
All in or all out,
Half way, no way. Give it all you've got!
We wrote the book, so you better know the plot
New breed, old creed
Let's see what you brought.
This shit has turned into a rout
Blood in, blood out.

Stand tall, show you've got no backbone.
Welcome all who never took more than gave
Punish all deceptions, no exceptions
Fortune always favors the brave
Bring your anger,
Bring the mayhem,
Anything you do is allowed.
You're the kings of pit insanity
Tonight we're gonna rage and make Paul Baloff proud.

Blood in, blood out,
All I'm telling you is do anything you wanna do
Blood in, blood out,
This is a ****ing dynasty of trash notoriety.
Dive in or bow out,
If you have the pedigree, welcome to the family.
All in or all out,
Half way, no way. Give it all you've got!
We wrote the book, so you better know the plot
New breed, old creed
Let's see what you brought.
This shit has turned into a rout
Blood in, blood out.

We're bringing down the thunder
Bottling the light, battering the way
Burning down the place
Our one stance, zero tolerance
Time to cut to the chase
We expect nothing less than a full scale riot
Give everything that you've got
Put an end to the peace and quiet
Let's start the pit that time forgot.

Blood in, blood out,
All I'm telling you is do anything you wanna do
Blood in, blood out,
This is a ****ing dynasty of trash notoriety.
Dive in or bow out,
If you have the pedigree, welcome to the family.
All in or all out,
Half way, no way. Give it all you've got!
We wrote the book, so you better know the plot
New breed, old creed
Let's see what you brought.
This shit has turned into a rout
Blood in, blood out."
Exodus,Collateral Damage,"Blitzkrieg, insurgence
Under the thumbs of the powers that be
Conflict, tension, unlawful detention
They don't give a f*ck about you or me
We are all just collateral damage
The shit they step in on their way
Just puppets used to their advantage
To chew up and throw away

Convergent, we move to deploy
I won't be your whipping boy
Insurgent, I can't take anymore
This is me declaration of war

Fight, oppress
Coalesce, we no longer acquiesce, we
Decry, defy
No longer learning how to live, we're learning how to die, we
Ascend, defend
I recommend we battle to the bitter end, we are
Betrayed, unafraid
Belligerent, resilient
Collateral damage repaid

Illuminati of the one percent
We chase their carrot on a string
Wall street deceit all stuck on repeat
Peons serving to the kings
To them it's all just a natural selection
A birth right of gluttony
Like a kind of Immaculate Conception
Of inbred conformity

Convergent, we move to deploy
I won't be your whipping boy
Insurgent, I can't take anymore
This is me declaration of war

Fight, oppress
Coalesce, we no longer acquiesce, we
Decry, defy
No longer learning how to live, we're learning how to die, we
Ascend, defend
I recommend we battle to the bitter end, we are
Betrayed, unafraid
Belligerent, resilient
Collateral damage repaid

Street punk makes a fatal mistake
Dared to look him in the eye
Ten rounds, just standing his ground
Only choice, he had to die
Just another violent confrontation
Murder in the first degree
Another ready, aim fire
Do more time for petty larceny

Convergent, we move to deploy
I won't be your whipping boy
Insurgent, I can't take anymore
This is me declaration of war

Fight, oppress
Coalesce, we no longer acquiesce, we
Decry, defy
No longer learning how to live, we're learning how to die, we
Ascend, defend
I recommend we battle to the bitter end, we are
Betrayed, unafraid
Belligerent, resilient
Collateral damage repaid"
Exodus,Body Harvest,"Awakened in ice near dead in a tub
Organs are cut out and gone, you pay the price
Phone and note call 911!!
Startled and scared
What to do next?
Who must be called?
Or will it be death!

Removed, they take your spleen
Your heart is sold left there to bleed

This is no law
Bold Harvest
Left there to rot
Body Harvest
More organs sought
Body Harvest
For sale for all

The meat wagon greets you
And speeds to a thrust
Hurry to sew on the patch
Strapped to the table and cut to the bone
The blood type is just not a match
Startled and scared
What do you do next?
Who must you call?
The way to your death!

This is no law
Bold Harvest
Left there to rot
Body Harvest
More organs sought
Body Harvest
For sale for all

Awake in a room dripping with blood
The hunted has turned to the hunt
Attention is turning from me onto you
You have the parts that I want
Startled and scared
What do you do next?
Who must you call?
The way to your death!

Removed, they take your spleen
Your heart is sold left there to bleed

This is no law
Bold Harvest
Left there to rot
Body Harvest
More organs sought
Body Harvest
For sale for all"
Exodus,BTK,"Pillar of the community
Leader in the house of the lord
Wichita giver of the Eucharist
While trolling for another reward
Factor ""X"" is underway
The time for killing is ripe
In the shadow of Kohoutek
A family lies bathed in blood
They were the prototype

Sadist and evangelist
Perfect plan of deviant bliss
Rapist and antagonist
Sunken deep in his bloody abyss
Haunting all and taunting men
Never knowing when he'll strike again
Psychotic hunter in orgasmic desire
Tighten the cord, watch the life expire
Wilt to be mine?
Thou shalt not scream nor yet free the line
Think of me and how it's going to be when
I prey
BTK

Husband, father, killer, beast
Monster, Cruciatus Rex
Lusus naturae
Death synonymous with sex
Acronym for terror
The devil would be waking free
Done in by a computer disc
Demon banished by technology

Sadist and evangelist
Perfect plan of deviant bliss
Rapist and antagonist
Sunken deep in his bloody abyss
Haunting all and taunting men
Never knowing when he'll strike again
Psychotic hunter in orgasmic desire
Tighten the cord, watch the life expire
Wilt to be mine?
Thou shalt not scream nor yet free the line
Think of me and how it's going to be when
I prey
BTK

Universe
God
Cosmos
Elements
Woman
Man
Sex
Psycho
Serial killer
Victim
BTK"
Exodus,My Last Nerve,"I'm so irritated
Being kicked to the curb
Every time you open your mouth
Your try to get in the last word
Those who live in glass houses
Should not be throwing stones
It all comes crashing down
You never left well enough alone

Seasons come
And treasons go
The more you hear
The less you know
So undeserved
No purpose served
All yo do is fray
My last nerve

So many excuses
Always laying the blame
You're always pointing the finger
Adding fuel to the flame
Another slander, another slur
Another hollow apology
So many verbal abuses
Believe your own mythology

Seasons come
And treasons go
The more you hear
The less you know
So undeserved
No purpose served
All yo do is fray
My last nerve

I'll never be your scapegoat
Quote unquote
Your underling
Red light, left turn, you never learned
A crash fit for a king

Seasons come
And treasons go
The more you hear
The less you know
So undeserved
No purpose served
All yo do is fray
My last nerve"
Exodus,Numb,"Nothing seems to faze me anymore
Indurate, senseless, dead soul to the core
This lift has left me cold, unfeeling
I find pity so unappealing

I'm callous, remorseless
Sympathy just seems so useless
Black-hearted and worthless
Desensitized and ruthless
Compassion vacated
I'm so disassociated
I'm sick of what I've become
But this world has rendered me
So fucking numb

Dead body on the street
Won't give it a second glance
Famine, poverty, just victims of circumstance
So bored by all killing and the thieving
I just don't have the time for the grieving

I'm callous, remorseless
Sympathy just seems so useless
Black-hearted and worthless
Desensitized and ruthless
Compassion vacated
I'm so disassociated
I'm sick of what I've become
But this world has rendered me
So fucking numb

I don't care that I don't care
That I don't feel a thing
I don't give a shit that I don't give a f*ck
Not a single tear it brings
When oh so many horrors
Are lined up on parade
Chaos and disorder
Are the tools of our trade
I'm fucking numb

Was a time when it all was shocking
Now I yawn when death comes knocking
I feel no sorrow that I feel this way
Now watch it all rot and waste away

I'm callous, remorseless
Sympathy just seems so useless
Black-hearted and worthless
Desensitized and ruthless
Compassion vacated
I'm so disassociated
I'm sick of what I've become
But this world has rendered me
So fucking numb"
Exodus,Food for the Worms,"There is no afterlife
We all just decompose
No Heaven's pearly gates
Just tags upon our toes
A slow putrescence
From the time the life is shorn
Feast for the maggots
Reborn
Wet and adipocerous
Our flesh turns in to wax
Enter hypostasis
Pale skin discolored black
Regeneration
When life has adjourned
Insect infestation
Our favors are returned

When from this world we are unbound
We're food for the worms
When they plant me in the ground I'm
Food for the worms

The reaper beats at the gate of every man
Lies fill the Bible, Tanakh and Quran
It matters not which dogma you believe
Our bodies are left to rot like fallen leaves
The circle of life it marches on
We fertilize the ground we walk upon
Feast for the vultures' all that's left
While hope spring eternal for the bereft

The throes of rigor mortis
Forensic certainty
Heaven, Olam Ha-Ba
Fairy tales of lunacy
We're vessels for the larvae
Not vessels for the soul
Transform to liquefaction
Make all nature whole
Food for the worms"
Exodus,Hammer and Life,"Born again harder
Than I was before
Bringing the hammer down
Is more than metaphor
I live by the steel
Die by the blade
What reason is there to be
If you're living life afraid?

[Chorus]
The hammer is my symbol
The banner that I wave
The motto of my creed
Carved upon my grave
I life for the here and now
I live for the knife
My coat of arms
Is the hammer and life

Fear and cowardice
Harbingers of demise
Strength and the will to fight
Will lead you to the prize
Glory to all of those
Who conquer to the end
Honor the hammer
On it you can depend

[Chorus]"
Exodus,The Ballad of Leonard and Charles,"Lecherous inhuman monsters
Piteous crimes carried out
Patriarchs to the lunatic fringe
They venerate what has been done
They turned a small town in northern California
Into the haunt of the damned
Devoid of all comprehension
The most vicious hateful part of man

[Chorus]
Dragging their victims into lunacy
And putting it all on film
Wretched dregs of society
Killers of children
Rapists of women
Sado-sexual violence

Immoral killing with indifference
Aroused as your victims cry
Unjust pain they love to inflict
Breaking their souls, then their minds
Malevolent and rancid perversions
The outcome is always death
Bodies thrown down into a hole
Maggots consuming the flesh

[Chorus]

Fear-A macabre madness
Fiendish carnage with rabid butchery
Pain-sadistically tortured
Rejoicing in their victims slavery
Rape-forced violations
Malicious desecration of the thrall
Slave-depraved exploitation
A sickening anguish for them all
Sado-sexual violence
Sick-twisted rituals
Vile defiling of the enslaved
Lie-decimate aspirations abused
At the hands of the deranged
Kill-and slaughter the damned
With gruesome and heinous suffering
Death-merciless killing
With despicable and cruel agony
Sado-sexual violence

Excoriate the legal system
Exposing all of its flaws
One kills himself with cyanide
The other makes a mockery of the law
The act of killing eroticized
Dismissive to call you insane
Committed horrific and brutal crimes
Then laughing with total disdain

[Chorus]"
Exodus,Beyond the Pale,"Sinners heart can't think or feel
The sharp sting of slicing steel
Punish, kill, repeat
The death caress, so bittersweet
I live outside the rule of law
My one decree is shock and awe
Black sheep of my kind
Progeny of hate refined

Suffering spreads like the plague
Reasons why, still oh so vague
The siren song of slaughter summons me
To inner demons I succumb
I know not that which I've become
Exhibit A in man's atrocity

Take the gun, take the knife
Take the pain, then take the life
My taste for homicide
Is rising up and amplified
Bloody deeds, my only friend
With me til the bitter end
Together we are one
And our work has just begun

Suffering spreads like the plague
Reasons why, still oh so vague
The siren song of slaughter summons me
To inner demons I succumb
I know not that which I've become
Exhibit A in man's atrocity

[Chorus]
Plea for mercy
To no avail
Killers of my kind live
Beyond the pale
In this world of mine
They say I don't belong
Something that feels so right
Could never be so wrong
Plea for clemency
You're wasting time
My routine
Is the scene of the crime
I make the Devil laugh
And Angels wail
Forever I will reside
Beyond the pale

Heartless bastard cold as ice
Victim of my own device
The strong prey on the weak
Dead men, they never speak
All part of man's condition
On this path to our perdition
We kill along the way
Death never takes a holiday

Suffering spreads like the plague
Reasons why, still oh so vague
The siren song of slaughter summons me
To inner demons I succumb
I know not that which I've become
Exhibit A in man's atrocity

[Chorus]"
Exodus,Class Dismissed (A Hate Primer),"Everything around me ignites my rage
I'm burning with animosity
Everywhere I look another war to wage
Filled with purpose of singularity
Got my hollow points, got my magazines
Wrote my manifesto of decay
Commencement of the killing at the university
Antipathy, the lesson of the day
They never should have pushed me away

[Chorus]
Student bodies lying dead in the halls
A blood splattered treatise of hate
Class dismissed is my hypothesis
Gun fire ends the debate
All I ever wanted was a little affection
But no one ever gave it to me
My hate primer's the result of my rejection
You'll die for it, and I'll die for thee

The halls of learning now a shooting range
My final exam with a gun
Killing everyone who ever thought me strange
My bloody dissertation has begun
Pomp and circumstance replaced by bullet wounds
The smell of gunpowder on the air
Murder is the nightmare of this afternoon
My malevolence, your cross to bear
All because of my despair

[Chorus]

Hate lives in me
Hate lives in me
Hate I need it and it needs me
Hate I feed it and it fed me
Hate I breed it and it bred me
Hate
Hate I read it and it read me
Hate I lead it and it led me
Hate I bleed it and it bled me
I breathe it in, and it breathes through me

While SWAT teams swarm all around the quad
The symposium of slaughter carries on
Smith and Wesson is my only God
And the line in the sand has been drawn
Valedictorian of violence
Graduation day, one bullet remains
Charles Whitman set the precedent
I pull the trigger and blow out my brains
They never knew I was insane

[Chorus]

I instruct you
And I destruct you
I deconstruct you
Until my hate has fucked you"
Exodus,Downfall,"A crumbling empire
Where angels fear to tread
Into the ruins of a civilization
A society ripped to shreds
No semblance of order
Into the world which I abjure
Where the bloody blade is forged
Am I the cause of the cure?

[Chorus]
Our destiny is soon revealed
Battle strewn, no way to heal
We spread the wings of failure
For the world's last goodnight
Downfall!
In the flames of the burning lands
Who claims to have the upper hand?
Bonfire of the vanities and spite

Like Sodom and Gomorrah
Forsaken and alone
Look how the mighty all have fallen
We reap what we have sewn
When all the marble palaces
Are blackened, sacked and burned
Will we understand man's ignorance
Through all the lessons learned?

[Chorus]

Fall!
Fall!
Fall!
Downfall!

So quick to claim the credit due
Yet no one takes the blame
Like Nero played his violin
While watching Rome in flames
Implosion of our nations through
Decisions of its kings
Downfall of our creation
It's the end of everything

[Chorus]"
Exodus,March of the Sycophants,"Do as they say, not as they do
March to the tune of the Christian right
Hypocrites, their rules they don't apply to you
Parading in the name of Christ
Former leader in a hotel room
Smoking crank and sucking cock
Guilty as sin yet innocence presumed
Still they talk the talk

Christian soldiers
Trudging off to war
Behind the cross of Jesus
And still they

[Chorus]
March!
March!
It's the march of the sycophants, they
March!
March!
March in time to the rhythm of the right, they
March!
March!
Here come the sheep, all promenade, they
March!
March!
Everybody loves a parade

Masters of hyperbole
They claim to know what's wrong or right
The mob led to believe so easily
Like a moth to a light
Pro-life, anti-life and so sincere
Battalions of the dull of mind
Obeying all they read, see or hear
The ignorant leading the blind

Christian soldiers
Trudging off to war
Behind the cross of Jesus
And still they

[Chorus]

Brain dead plebeians
Rally 'round the Bible and the flag
Their prophets are a plumber
And a small minded rifle packing hag
One nation under God
And one under the thumb
Marching to the beat of a different kind of drum
It's the march of the sycophants!

Town hall rabble
Cry liberty and justice for the few
It's the end of they world as they know it
That's what they'll say to you
Conspiracy theories eaten raw like meat
Fed by the mother of lies
They suck straight from the teat
It's the march of the sycophants!"
Exodus,Nanking,"Sadistic soldiers of the rising sun
1937's when the rape had begun
The ancient city fell under imperial rule
By an engine of war and lust, savage and cruel

Assembly line efficiency of killing machines
Unbridled fury of the sick and obscene
Systematic sexual degradation
The more perverse the greater exaltation

Nowhere to hide, nowhere to run
They turned the waters of the Yangtze red with blood
Cast aside and brutalized
Terrific horror made to terrorize

Bestial and violent, six weeks of suffering
So black was the day they marched through the gates
Their fate was beckoning

Tanks ran over men nailed to boards
Decapitations with an officer's sword
Gang rape of women, both the young and the old
Frozen to death in waters ice cold

Disembowelment, some are buried alive
Suicide's preferred for those who survive
The stench of corpses everywhere in the streets
Dogs feast on the rotting meat

Nowhere to hide, nowhere to run
They turned the waters of the Yangtze red with blood
Cast aside and brutalized
Terrific horror made to terrorize

Bestial and violent, six weeks of suffering
So black was the day they marched through the gates
Their fate was beckoning
It was the rape of Nanking

Thousands forced into prostitution
So many years and still no restitution
The carnage of Carthage so easily outdone
Add all the blood you get 1200 tons

Massacre removed from history books
No mention of men hung from iron hooks
All counter to the rules of war
They made a city an army's whore

Nowhere to hide, nowhere to run
They turned the waters of the Yangtze red with blood
Cast aside and brutalized
Terrific horror made to terrorize

Bestial and violent, six weeks of suffering
So black was the day, they marched through the gates
Their fate was beckoning
It was the rape of Nanking"
Exodus,"Burn, Hollywood, Burn","Land of enchantment and fake reality
Where they put in vitro breeding machines
On the cover of a magazine
Trailer trash and human freaks
They grab their minute of fame
And still the puppets watch
And everybody knows the names
That's why I say

Burn, Hollywood, burn
When it's dead and gone we'll never miss a thing
Burn, Hollywood, burn
No more rotten to the core little sweet sixteens
Burn. Hollywood, burn
Time's running out on their minute of fame
Let's douse the fire by pissing on the flames

So young, bitch and famous
Hotel heiress, glamor queen
The only reason we know your name
Is bad night vision pornography
From the ""real"" housewives of Botox hills
To the cunts of Bel-Aire
You can't look away from the cathode ray
Why does anybody fucking care

Burn, Hollywood, burn
When it's dead and gone we'll never miss a thing
Burn, Hollywood, burn
No more rotten to the core little sweet sixteens
Burn. Hollywood, burn
Time's running out on their minute of fame
Let's douse the fire by pissing on the flames"
