	artist	title	lyrics
23	Circle Jerks	Fortunate Son	"The boys are bored to wave the flag
The red, white and blue
And when the band plays, hail to the chief
To point the cannons right at you
It ain't me, it ain't me
I ain't no sinner's son, no
It ain't me, it ain't me
'Cause I ain't no fortunate one
Are born, so much burning 
Why don't they help themselves?
And when the tax man comes to the door
The house looks like the running cell
It ain't me, it ain't me
I ain't no millionaire's son, no
It ain't me, it ain't me 'cause
I ain't no fortunate one
Are born, stars 
The war
And when they ask how much did we give?
The only answer, more, more, more
It ain't me, it ain't me
I ain't no military son, no
It ain't me, it ain't me"
24	Circle Jerks	Wolrd Up My Ass	"I've got the world up my ass
And I'm gonna move fast
Be the first
Won't be the last
I've got the world up my ass

Society is burning me up
Take a bite,
Spit it out
Take their rules
Rip 'em up,
Tear them down

Twisted mind,
Withered brain
You know I'm going insane
I just tell them to get back
When they tell me how to act
I've got the world up my ass

You know I've got the world up my ass"
25	Circle Jerks	Teenage Electric	"F*ck me teenage I'm electric
Times are hard getting so more hectic
Man your brain's square you better get with it
You can wash me down your antiseptic

toss it away
Toss it away
Toss it away now

buried in a magazine
And you're not even dead yet
Everything gets said
Goes straight to your head

toss it away
Toss it away
Toss it away now
Toss it away
Toss it away
Toss it away now

f*ck me teenage I'm electric
Man, your brain's square you better get with it
Wash me down you antiseptic

toss it away
Toss it away
Toss it away now
Toss it away
Toss it away
Toss it away now

twist flip bang those feet on the ceiling, yeah
Stop standing still, gotta grab this feeling now
Six strings sizzles like a burning fire
And you're verbal trash, man, you're growing tired
Toss it away
Toss it away
F*ck me teenage I'm electric"
26	Circle Jerks	Live Fast Die Young [#]	"I don't want to live
To be thirty-four
I don't want to die
In a nuclear war
Go on out
Get some more
Go on out
To the bar, the market or the liquor store

I don't want to live
To be forty-three
I don't like
What I see going on around me

Go on out
Get some more
Go on out
Get fucked up and pass out on the floor
Go on out
Get some more
Go on out
To your favorite liquor store
Go on out
Don't worry about it any more
Go on out
Get fucked up
I don't know what for

I don't want to live
To be fifty-seven
I'm living in hell
Is there a heaven?

Live fast, die young
Live fast, die young
Live fast, die young
Live fast, die young"
31	Circle Jerks	22	"Glorified neurosis and a carload of explosives
Our doctor friend's just a wee bit fried
Ears to ghetto blasters, a prescription to disaster
An all day job just to stay alive

Would you lick my palms? 
Through moons and stars
Egg laying vertebrates peck green covered yards
Heal my wounds cut straight to my heart
Come on there, chicky gurl, let's blow things apart! 

Honesty and epic shock into corners under rugs
Greasy dishes keep mounting up
(?) Can't be straight forward
Cause you know it's not in their blood

As I try to negotiate my way through this lifetime
I keep getting hung up at all their roadblocks
Would you lick my palms? 
Through moons and stars
Egg laying vertebrates peck green covered yards
Heal my wounds cut straight to my heart
Come on there chicky gurl let's blow things apart! 

As public's slaves to dethroned kings
Transvestite brothers strung out queens
The chosen few most likely succeed
Over there a sucker's born
Mosquito bites and blaring horns
Take his clothes
Kick him out
Then give him the keys

As I try to negotiate my way through this lifetime
I keep getting hung up at all their roadblocks
Would you lick my palms? 
Through moons and stars
While egg laying vertebrates peck green covered yards
Heal my wounds
Cut straight to my heart
Come on there
Gather your stuff
Let's blow things apart!"
32	Circle Jerks	Shining Through the Door	"Never mind how I got all that money
Money doesn't buy me peace of mind
Never mind that I can't find a reason
Reason doesn't ease these troubled times

In this life of degradation
When nothing seems to be worth living for
Truth will come bringing salvation
And that light will come down shining through the door

Every time I try to find a purpose
Purpose seems to turn to disarray
Every time I try to find a meaning
Meaning wants to just slip away

In this life of degradation
When nothing seems to be worth living for
Truth will come bringing salvation
And that light will come down shining through the door
The door... shining through the door
The door... shining through the door

Sometimes it's sad
Sometimes it's funny
We have the power to elevate ourselves
So I guess we have to keep on going
As dust keeps building layers on our shelves
We have the power to elevate ourselves

Never mind how I got all of that money
Money doesn't buy me peace of mind
Never mind that I can't find a reason
Reason doesn't ease these troubled times

In this life of degradation
When nothing seems to be worth living for
Truth will come bringing salvation
And that light will come down shining through the door
Shining through the door
Through the door
Shining through the door
Shining through the door
Shining [x5]
Keep on shining through the door"
34	Circle Jerks	Sinking Ship	"Smut peddling cannibals hang at public urinals
Mister wanna buy a watch? Leafy catnip tar some rock
Skid marked asphalt or a pair of dirty socks! 

Everything is up for sale
But never any bargains
On vacation out to lunch
Nervous smokers got the jitters

Coffee stains and shell shocked vets
Child molesting paranoid pimps
Crooked cops and the dog keeps chasing itself
This cycle never stops
Cycle never stops
Cycle never stops. . Helplessness

Street signs read anywhere anytime
Can you stop the bus
This is where I wanna get off
Confronted by trendy chic hipsters
Treading like hamsters
And tires keep turning
Rubber's burning
Attached to motors
No one's learning
Well me hell I'm always looking for
An exit sign
So I can get out
The easy way out
So I can find some peace of brain or a comfortable ride
A cool place to hide
Or a get rich quick scheme
A scapegoat or an excuse without any loopholes
So I won't trip or hang myself

Something ugly settles
As if I'm heavy or short on breath
A feeling of helplessness
A feeling of helplessness
A feeling of helplessness

When I keep hearing their jibberish
Vote no on yes
Don't panic this is only a test
Don't panic this is only a test
Don't panic this is only a test
Don't panic this is only a test

All those unfortunates caught in bad circumstances
Lesbian skinheads who think they're in love
Computer programmers owning nervous disorders
And a few sexual fantasies
Only running on half filled tanks
Half filled tanks
Half filled tanks
Half filled tanks
Who will stand on the deck
On the deck? Of a sinking ship. ..
Helplessness
Helplessness
Helplessness
Helplessness"
35	Circle Jerks	Brick	"Murderous liars hide behind lines of sheep
Smiling killers find it easy to sleep
Collecting their fortunes at the end of the week
It's sixty five on a one way street

Now I've got a brick for your window

Highrise hogwash dealt to freeze dried stares
Talk 's expensive listening nobody cares
Cram those bank account's stocks and shares

Now I've got a brick for your window
Now I've got a brick for your window

When individualism dies
Everything's the same
You can kiss my ass to the state machine! 

Good versus evil's such a bogus plot
Things aren't what they seem
I've got a seven and a half for your tv screen! 

Herds of paper eaters licking feet
Static babble now it's starting to tweak
Company kept is just a flock of creeps
Alienate me now I feel like a freak

Now I've got a brick for your window
Yeah! I've got a brick for your window

Good versus evil's such a bogus plot
Things aren't what they seem
Now I've got a seven and a half for your tv screen! !"
36	Circle Jerks	Fable	"Sunshine visits our new now world
Dogcatchers clock out, counterfeiters pray
Pilgrims stranded on an asphalt artery
Without black fluid or a power source, caught chicken pox with measles on a breeze 
Some call him history

Purchased printed slips to a nightmare
Hostess strips on a donkey's back
Where every paths unfinished bridges
Now all our rubber's growing flat

We're looking, searching for the witness on a deal where they bartered over aversion
Any descriptions or whereabouts of a character dressed in grey
Spill these words,big payoff! And for his habit, a statue made of hay
Winning draws a reward,humanity gets saved!

Purchased printed slips to a nightmare
Hostess strips on a donkey's back
Every paths unfinished bridges
Now rubber's growing flat

Well timed frauds want to know who's stomping on their toys in their empirical playpen
Where'd they stash the virgins?

To them it doesn't matter, If there's a silver lining
So what's the difference 
If you haven't washed behind your ears?

Shadow length leeches need their cut of the mold as clumsy martyrs fall over potholes
Lining sidewalks to an early grave
Feminist pillhead crosses her legs
With a dozen extra large a a a eggs
Unfolds a map set in her lap to a grimy universe

Lavender and silhouetted horizon
Nut museum's is dining and dashing
Roses growing backwards
As I gaze down at the feeding site!
I'm a helpless romantic, sunk neck deep in quicksand
I'll keep reaching with magnetic eyes"
37	Circle Jerks	Grey Life	"Wilting flowers equate death
Not what I'm about
This war of wits like Vietnam
Now I'm pulling out
I need a lump of something
So confused what i want
To put it down in layman's terms
I'm basically fucked
Could have given everything
But that's not enough
When i asked for sugar
You substitute salt

I'm trying to think up
Some miraculous strategy
To bust loose from this creeping misery

I won't settle for a gray life
I won't settle for a gray life
I won't settle for a gray life

Sawing on my limbs
In this surrealistic dream
Tie me up, gag my mouth
Now i 'm ready to scream
Sad eyed velvet painting
You don't want to be loved
Titanic front row state room
You've been screwing the crew
I might be an imbecile
But i won't be a fool

I'm trying to think up
Some miraculous strategy
To bust loose from this creeping misery

I won't settle on a gray life
I won't settle on a gray life
I won't settle on a gray life

I need a lump of something
So confused what i want
To put it down in layman's terms
I'm basically fucked

I'm trying to think up some
Miraculous strategy
To bust loose from this creeping misery

I won't settle for a gray life
I won't settle for a gray life
I won't settle for a gray life
Gray life"
38	Circle Jerks	Exhaust Breath	"Hey there exhaust breath
Planet's stapled to your chest
Chuck of the skies
Your piece of the pie
Gridlocked ears, dollar signs

Don't you know you're running out of time? Get in line! 

Heartless mothers got no soul
Grit your teeth do what you're told
Try as you may you're spinning around, lost
Tossing the dice as you're putting those lips to your boss

Don't you know you're running out of time
Hey there exhaust breath
What it is, ain't what you said
What the hell goes through your head! ?

Hey mister smog breath
Clean that cage, make your bed
No remorse for those things you did
Hatching schemes beneath those ribs

Don't you know you're out of time
Hey there exhaust breath
What it is ain't what you said
Your device will be your death

Carburetor lungs, mud sliding crooks, juggling sharks wolves pitbulls
Styrofoam sandwich bypass to go

Don't you know? 
Don't you know? 
Don't you know? 
You're out of time"
42	Circle Jerks	World up My Ass	"I've got the world up my ass
And I'm gonna move fast
Be the first
Won't be the last
I've got the world up my ass

Society is burning me up
Take a bite,
Spit it out
Take their rules
Rip 'em up,
Tear them down

Twisted mind,
Withered brain
You know I'm going insane
I just tell them to get back
When they tell me how to act
I've got the world up my ass

You know I've got the world up my ass"
44	Circle Jerks	Mrs. Jones	"Well
Hello Mrs. Jones
Good neighbor Sam
How are you doing?
While you're working nine to five
Do you know what your kids are doing?

[Chorus]

Youngest debbies' skipping class
Grades so poor she'll barely pass
Oldest roger he's so dear
A pessimist the end is near

The family ties are breaking down
There's not much to do to save them
Tell yourself you'll spend more time
With the kids they'll say forget it

[Chorus]
Mrs. Jones, good neighbor Sam

Everything you work so hard
You only want the best
You tell yourselves and your friends
They're better than the rest
Don't you know that I feel tone & tons of sorrow
Hey! By the way you got a rake that I can borrow?

[Chorus]"
51	Circle Jerks	Wonderful	"Be nice, say thank you
And please once in a while
It's a beautiful world we live in
So give your brother a smile
Turn to a stranger
And give him a pat on the back
It's not that hard to
Maybe the friendship will last

Wonderful! (Wonderful)
It's so wonderful! (wonderful)
Wonderful! (Wonderful)
It's so wonderful!

Don't smoke, don't litter
Don't step on a beetle or ant
Always walk on the sidewalk
Never tread on the grass
Be kind, be courteous
Open the door for your mom
Help an old person across the street
Give the bum something to eat

Wonderful! (Wonderful)
It's so wonderful! (wonderful)
Wonderful! (Wonderful)
It's so wonderful!

Wonderful! (Wonderful)
It's so wonderful! (wonderful)
Wonderful! (Wonderful)
It's so wonderful!

Be nice, say thank you"
54	Circle Jerks	Patty's Killing Mel	"Good as dead,
the plate stays cool, the meat stays warm 
shit just coming on
Read the signs, sound the alarms 

patty's killing me
Senseless murder I can tell 
patty's killing me
red meat, cocktail send him in to hell 

Give the dog a a bone, 
You can tell him not to eat, but is it safe? 
A deadly game, I will repeat 

Susie's killing Sal 
bobby's killing Joe 
its your blood, who's to know? 
Killer killing dale sally' killing Sam 
Get to close you'll understand 

Patty? Yes Mel? 
Is that Doug beneath the counter? 
Does this mean you don't love me anymore? 

Patty's killing Mel 
High rise custom, condo jail 
Patty's killing Mel
hide the keys, raise the bail 
patty's killing Mel 
Right next to the danger zone 
Patty's killing Mel down the block 
Close to your home 

Patty's killing Mel!"
55	Circle Jerks	Casualty Vampire	"The architect of murder gets start billing
Yet another victim another slaying
Silence, flashing lights, police line - do not cross
Blood on the sidewalk, your aunt's on the scene
Hide close to corners 'cause I heard someone say
This poor sucker's, run out of life! 

Casualty vampires, thirsting for blood
Casualty vampires, there's never enough
Casualty vampires sharpen there teeth
Surrounded by the tv, waiting for the last string
Of casualties
Jet crash, news cast, devil's of disaster
How many were lost

Casualty vampires, see nothing but red
Casualty vampires, it's in all of our heads
Stop to watch, stand and stare
Yet another carcass lying there
Earthquake, bomb blast, domestic brawl
What does it matter? To all those who flood

Casualty vampires, drive along the freeway
Casualty vampires, draining their necks
Casualty vampires, pass right by
Causality vampires, look at all the rats"
56	Circle Jerks	Tell Me Why	"Tell me why, tell me why
Why are they always pushing me?
Block my vision so I can't see
Hold me down while they grind on me

Mind your own, just let me be
Go let them in, there are our friends
As long as they play Monopoly
Nothing to hide, set up the scene

Heading a false reality
We need a hype, got a hype
If we believe in what they say
Closer to me, rather behind

It don't seem so far away
Watch your mouth on mindless beach
Be your best, stay on your feet
Cry to so when you weep

Why are they always hounding me?
Why? Tell me why?
Brother's crying, sons are dying
Sounds of weapons, bullets flying

Never giving always taking
Filled with lies, always faking
Never carry, never shake
Always rough and overbearing

Why do you want to fight with me?
Tell me why, tell me why
Sell them tractors, give them seeds
Help them boost their economy

Let them up and hear their pleads
Mind your own, just set them free

It's closer than you know"
57	Circle Jerks	Protection	"Take care beware you need protection
Like the monkey in the jungle don't slip watch the curb
You need protection there's a car coming your name's on it

Like the whales in the ocean, you could be come extinct
Don't let them haunt us
You know what I'm thinking
You better believe all the animals need protection
You need protection

A careless cigarette, slip with the matches 
brush fires burning
Animals on the run who's gonna help them now there's nowhere to go
You need protection
You need protection I need protection too

In a square package some call it prevention
Do you wanna have some fun? You need protection
There's a killer disease running wild it's out to get you

All those people they need protection
Standing still in great masses lead them some shelter
There's a nuclear rain coming soon get your lead umbrella

You need protection I need protection too"
58	Circle Jerks	I'm Alive	"Everyday is such a test
When this world's such a mess
But I'll try hard I'll do my best
Won't get bogged down like all the rest
Got no hamsters in my head 
No monkeys on my back
No chains and shackles to hold me down
I wanna fly I wanna fly

'Cause I'm alive
I'm alive

The world could be such a better place
Who needs that garbage
It's all such a waste
Don't need the drugs
Don't need the booze
Abuse that stuff you'll only loose
A big decision make it right
It's a battle win the fight
Everything's gonna be all right
I wanna fly I wanna fly

I'm alive
I'm alive

Streets and rooms filled with negativity
Filled with gloom all the walking trash
Who the hell wants to live that?
Not me
I'm no screwed up zombie part of the
Living dead
I wanna think have a clear head

Places to go people to meet
Can't do this with your head in the sheets
Tear down all their walls 
Got the world by the balls
Got no hamsters in my head 
No monkeys on my back
No chains and shackles to hold me down
I wanna laugh, I wanna cry

I'm alive"
59	Circle Jerks	Status Clinger	"Everybody out for the money running around
Talk about yourself all the time getting me down
Think about the needs of the many out of sight out of mind
Gotta get ahead turn my back, leave you behind

Point blank take a leap
Pressure play it as it lays
You get to heavy for me
Everyone you meet you bow to their feet

You're a status clinger, nice to meet you
Who do you know, where do you go?
You're a status clinger, now I see you,I can't take it
You're a social climber status clinger
Looking through you, nothing to see
You're a social climber status clinger
I can't take it anymore

Have you seen her, have you seen him, Have you seen them
I don't know
Better think it over, better look out
I gotta go
Escalator, elevator, butt in front of the line
Gotta get ahead, turn my back just a matter of time

Straight up. Take a leap
The buzz is out, its out on the street
Pressure too heavy for me
Everyone I meet seems to agree

Party parasite
Hanging around bothering me
Transparent user
Looking through you, nothing to see
Manipulating loser
What do you have? Whats in it for me?

You're a status clinger, nice to meet you
Who do you know, where do you go?
You're a status clinger, now I see you,I can't take it..
You're a social climber status clinger
Looking through you, nothing to see
You're a social climber status clinger

I can't take it, I can't take it anymore!"
60	Circle Jerks	Living	"Look at all those people
Living in those places
The look of desperation
Written on their faces

No escape no way out
Trapped in a cycle of doubt
Are they happy I don't know
Pockets are empty nothing to show

Living, just living
Hyped out on this
Crapped out on that
I'm tired, give me something
Is that all there is, is that all there is?

Not much hope for any future
No desire to recall the past
Lower standards of education
Hard to think when your stomach is empty

Pro-creation, no conscience, no caution
Another one look what you've done
Soon another mouth to feed
Babies for income, you can't tell me that's

Living, just living
Hyped out on this
Hyped out on that
I'm tired, show me something
Is that all there is, is that all there is?

Walls of many colors
Look at what they're saying
Territorial frustration
There's a war zone inside this nation

A young man stands accused
Street life, nothing new
Filled with anger, filled with hatred
The situation is understated

Living, just living
Hyped out on this
I'm crapped out on that
I'm tired, give me something
Is that all there is, is that all there is?"
61	Circle Jerks	American Way	"I'm living in the USA and I don't care
For the buy it, package it, sell it
Make it shine make it shine

You'll get a bigger piece of the market share
If you wave the American flag
It's the spirit of the dollar not the USA
It's a sign of the times

Don't you get me wrong, it's a
Wonderful place to live
We got freedom we got rights
Friday night fights

I'm living in the USA and I won't swear
On that bible pushing selling
Good old boy good old boy

Try to tell us all
What's good for our children
Put prayer back in the school
Make it right make it right

He can take the food
Right out of your mouth
Its OK your buying salvation
Fly that Lear Jet across the nation

I'm living in the USA and I don't care
Buy it, sell it, commercialize it
On my prime time

Celebrate the reconstruction
Of the statue of liberty
Sell your beer, soft drinks and cars
That's the American way

They can justify anything they do
It's alright, as long as their waving
The red white and blue"
63	Circle Jerks	Love Kills	"Sometimes I ask myself 
why even bother
When it goes in one ear and right out the other
Out on a limb out on the edge no matter what they say
The pleasure of pain day after day, day after day

Love kills
And it hurts me to see you this way
Love kills
And it kills me to treat you this way

Each day we rise with the sun in our room
Needles and pills lead us right to our doom, right to our doom
Looking like the tail end of a hurricane
Death warmed over the rear end of destruction, rear end of destruction

Love kills
And it hurts me to see you this way
Love kills
And it kills me to treat you this way
Love kills
And it hurts me to see you this way
Love kills
And it kills me to treat you this way

Pock marks and scars adorn your face
It used to be pretty
But it's just getting ugly
Cause your getting caught up in a loosing race
You're drowning in a sea of drugs
They pulled out the carpet
Look at everything you've taken
What have you done

The distance grows, you're fading away 
Disturbed since birth
No way to control you
You took a vow to love me forever
Never say you're sorry
I did it my way

Love kills
And it hurts me to see you this way
Love kills
And it kills me to treat you this way"
